clade	species	ts	te
0.0	1.0	18.418211730276379	13.275670867704463
0.0	2.0	16.189277146389358	5.1291115560176319
0.0	3.0	15.43531036067516	14.107227185879179
0.0	4.0	15.599143256997444	15.205503827479664
0.0	5.0	15.616487371885356	11.45007965831088
0.0	6.0	13.665844740519621	4.927352670023903
0.0	7.0	23.823695523463456	22.293691042097123
0.0	8.0	32.957038700240773	20.290211515608593
0.0	9.0	32.850410489391244	21.140302881871321
0.0	10.0	4.8840980980066773	1.8157817838753285
0.0	11.0	9.7411733537593488	1.6371737595645375
0.0	12.0	13.940708988938992	9.3453934716909135
0.0	13.0	9.1904073955117198	6.5351243706396094
0.0	14.0	7.1756027873244363	5.6250831828887886
0.0	15.0	13.67629847182527	5.1017486111175909
0.0	16.0	10.103474013307498	3.1228047235972038
0.0	17.0	23.98790678331649	22.461924943472333
0.0	18.0	2.9516608368038937	0.085092282180726786
0.0	19.0	1.3745524454512887	1.0439994097786043
0.0	20.0	1.960868313559891	0.0073312976195030423
0.0	21.0	4.5526962421437922	0.28889481587054511
0.0	22.0	9.7552124591723732	1.626627070884751
0.0	23.0	5.0394427106114632	0.0
0.0	24.0	5.0835198079098705	0.043593340980553938
0.0	25.0	1.9779314459855124	0.0
0.0	26.0	5.9127798537198384	0.0
0.0	27.0	2.5403846018482912	2.0111588723339771
0.0	28.0	15.68795876359982	12.052372382948311
0.0	29.0	10.495295670643969	5.0106725152662843
0.0	30.0	12.876422990339206	10.315625241777292
0.0	31.0	14.712488200961873	5.8239043378499655
0.0	32.0	2.9928101453564646	2.352978737744488
0.0	33.0	8.2754193530664608	2.3273210580342338
0.0	34.0	2.966984008842263	2.009705401065712
0.0	35.0	30.804685040042564	21.016983402972876
0.0	36.0	30.449687914425621	21.316935583187668
0.0	37.0	0.051481249639490946	0.016323670038292507
0.0	38.0	24.798547537698564	13.923585921051883
0.0	39.0	20.83006144538448	17.577828405007391
0.0	40.0	17.728052340471212	17.107970457668426
0.0	41.0	23.570398078007361	21.985579463101494
0.0	42.0	31.004348975070059	20.662231853606286
0.0	43.0	26.231100432828413	19.87618034518291
0.0	44.0	30.726726917393311	23.260593885025479
0.0	45.0	20.83367001225238	15.089690852498778
