clade	species	ts	te
0.0	1.0	19.565215008405801	13.813852256086024
0.0	2.0	16.208405122587468	6.1306383995251501
0.0	3.0	16.336095185400229	13.36732974267982
0.0	4.0	15.285440813532803	14.965042600058769
0.0	5.0	15.858542792618048	9.263023997688153
0.0	6.0	13.68317922741471	4.8505542667999908
0.0	7.0	30.77237389203308	30.252089397606216
0.0	8.0	32.238769185497958	20.633945622696405
0.0	9.0	33.615768068217491	24.050153924394355
0.0	10.0	4.885173016198987	1.7173284098566126
0.0	11.0	9.6496750587262454	1.7887984201200195
0.0	12.0	11.65317473978841	9.6820044610006306
0.0	13.0	9.6986760268448595	7.6146255402583058
0.0	14.0	9.5228029486537391	4.6108119788034188
0.0	15.0	13.33231513744416	4.4841840636671524
0.0	16.0	10.12008128812673	3.3657502971473812
0.0	17.0	29.333849206451625	27.699258999838811
0.0	18.0	3.1733243705577499	0.053832938125496194
0.0	19.0	1.6974404819468079	1.3321598882266017
0.0	20.0	2.5262371677894651	0.011798877511072713
0.0	21.0	5.084881731495968	0.39969426169731337
0.0	22.0	9.0831391368101944	1.8309210323177736
0.0	23.0	4.7700437227298744	0.0
0.0	24.0	5.169467842415699	0.028747256311291929
0.0	25.0	0.79144044236917466	0.0
0.0	26.0	5.671349631091382	0.0
0.0	27.0	4.7606064018715761	4.0942048725190539
0.0	28.0	16.477231898002852	10.682991873614808
0.0	29.0	10.765495839546467	4.4391232427208118
0.0	30.0	13.32852079650346	9.7928120488743602
0.0	31.0	15.12204001113982	4.3816107554890653
0.0	32.0	4.8440742127562793	4.1835626460715627
0.0	33.0	9.1341622337077606	3.3220470538566662
0.0	34.0	3.1220176716523742	1.5233522897358354
0.0	35.0	30.208497214672626	21.608242626002237
0.0	36.0	30.955179335533433	20.491849111266077
0.0	37.0	0.085799964294344222	0.0427896953542731
0.0	38.0	29.648765204824944	13.531491212416693
0.0	39.0	18.798362305944504	16.550459725335337
0.0	40.0	17.611567191705738	17.003407870707182
0.0	41.0	25.467907319260032	23.713155753826928
0.0	42.0	28.935436765171268	21.308123438100051
0.0	43.0	25.62743651672368	21.164498124562012
0.0	44.0	30.424514617077012	21.675525228943762
0.0	45.0	19.778392966211182	17.398844834840972
0.0	46.0	13.897716186501363	4.6744802289785756
0.0	47.0	16.755445192075122	13.139958744684664
0.0	48.0	19.860405678513469	13.757217955375211
0.0	49.0	16.595986019167004	13.291073293802242
0.0	50.0	14.011361496383872	10.189014880735066
0.0	51.0	14.710505396206699	14.402927426036788
0.0	52.0	21.426270795133288	20.848975631081903
0.0	53.0	33.340866794958508	21.304632186210519
0.0	54.0	19.514462034436733	15.844763712456949
0.0	55.0	29.567895833505972	15.90430810055857
0.0	56.0	32.518120371476094	26.596961736682214
0.0	57.0	30.579791961777342	29.926312905221387
0.0	58.0	19.692211657089008	15.46448229946647
0.0	59.0	24.802208298400654	23.043425490089376
0.0	60.0	28.699537677385557	21.068905097454177
0.0	61.0	30.841904878827517	21.505553992757015
0.0	62.0	32.22078588499933	32.034414685406361
0.0	63.0	30.458301650225856	21.189976917301479
0.0	64.0	8.6830639553633215	7.8958786606369022
0.0	65.0	17.392729575164672	4.651246876444632
0.0	66.0	13.9535773440083	4.8223607893847547
0.0	67.0	10.296516606819047	1.877514334651148
0.0	68.0	11.888807074565362	11.533833910879315
0.0	69.0	19.092840311128182	14.354965752262476
0.0	70.0	19.551096123539843	18.969500235837319
0.0	71.0	34.047750762780744	33.628430756662979
0.0	72.0	37.238664861580695	30.458562895292033
0.0	73.0	28.286272630196024	26.675035238567155
0.0	74.0	30.849502202122121	23.42006677391894
0.0	75.0	25.784455032424106	21.078694706885376
0.0	76.0	21.639045169007417	14.112128146311285
0.0	77.0	13.804105776512689	5.8346876883073318
0.0	78.0	23.827664925783935	21.930952377512838
0.0	79.0	13.453665421707367	13.138371935144065
0.0	80.0	15.583985766331882	10.013159586285543
0.0	81.0	30.478998364731716	16.639119045519337
0.0	82.0	30.277461623725792	21.525161664128639
0.0	83.0	25.650572097131235	21.546274595994173
0.0	84.0	33.911100681118874	21.371766404072215
0.0	85.0	5.4434572487161246	4.7472478399481517
0.0	86.0	12.763169600962806	5.4132912027342917
0.0	87.0	11.616963058757735	4.0537687370812554
0.0	88.0	20.275708497877698	16.060442400614104
0.0	89.0	20.006376981430499	13.502390533720309
0.0	90.0	23.205350297402674	20.16123725532017
0.0	91.0	20.015398293714949	13.685215943446231
0.0	92.0	19.895019652378249	15.669808945572262
0.0	93.0	33.785448691919818	30.874291492585396
0.0	94.0	19.361102694623671	16.91947314461531
0.0	95.0	33.144518434289004	21.316843941506868
0.0	96.0	23.924802946157385	22.09452237103012
0.0	97.0	30.910066275361782	21.191496792186719
0.0	98.0	33.798683613592466	33.187364484023497
0.0	99.0	33.307733189234632	27.223287590812696
0.0	100.0	20.103965301857752	13.831891217088447
0.0	101.0	19.921057913161277	15.013021080631772
0.0	102.0	30.820724698911636	21.085573456802507
0.0	103.0	26.025984260230668	21.129604756411332
0.0	104.0	24.599977845046443	20.793881339577414
0.0	105.0	15.088854633366497	9.9704798814695987
0.0	106.0	16.223084062389852	8.3555016901266281
0.0	107.0	30.718172900011957	25.919276249791359
0.0	108.0	24.904838374846534	23.097839260545328
0.0	109.0	26.152164458926865	20.660942094410938
0.0	110.0	32.603371153134681	21.173949781753418
0.0	111.0	22.230077776474051	15.795597565565432
0.0	112.0	16.342547317485952	15.949808254586983
0.0	113.0	19.574235957163005	15.759255339750881
0.0	114.0	30.678061001924249	18.660211176714817
0.0	115.0	25.26632397769561	23.499064585726305
0.0	116.0	29.63079654888994	20.979604318565652
0.0	117.0	20.484316773915697	20.264452829198582
0.0	118.0	16.561348784845052	13.87864655128649
0.0	119.0	20.571592533885703	13.42771549298496
0.0	120.0	19.318437438756412	13.543718177003768
0.0	121.0	30.391170936787884	21.20426355017041
0.0	122.0	29.947674366361593	20.716632778824362
0.0	123.0	16.434654445246395	15.51083257405033
0.0	124.0	19.764556354447581	14.092339503172299
0.0	125.0	20.20792558717762	13.8142064034818
0.0	126.0	5.311211288515211	0.0
0.0	127.0	2.532584117707843	2.0104935722124728
